Date : 2023-05-31 20:40:28
Directory : /Users/elijahlawson/Desktop/Prime/divvy-tips
Total : 71 files,  3106 codes, 198 comments, 582 blanks, all 3886 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         21 |      1,557 |         14 |        279 |      1,850 |
| JavaScript     |         39 |      1,114 |        175 |        244 |      1,533 |
| JSON           |          3 |        201 |          0 |          2 |        203 |
| Markdown       |          3 |        166 |          0 |         47 |        213 |
| SQL            |          1 |         34 |          4 |          6 |         44 |
| YAML           |          1 |         16 |          5 |          1 |         22 |
| HTML           |          1 |         15 |          0 |          2 |         17 |
| CSS            |          2 |          3 |          0 |          1 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         71 |      3,106 |        198 |        582 |      3,886 |
| . (Files)                                                                                          |          8 |        411 |          5 |         57 |        473 |
| .github                                                                                            |          1 |         16 |          5 |          1 |         22 |
| public                                                                                             |          1 |         15 |          0 |          2 |         17 |
| server                                                                                             |         14 |        575 |        102 |        137 |        814 |
| server (Files)                                                                                     |          1 |         28 |          8 |         11 |         47 |
| server/constants                                                                                   |          1 |         17 |          0 |          7 |         24 |
| server/modules                                                                                     |          4 |         59 |         39 |         18 |        116 |
| server/routes                                                                                      |          7 |        427 |         39 |         95 |        561 |
| server/strategies                                                                                  |          1 |         44 |         16 |          6 |         66 |
| src                                                                                                |         47 |      2,089 |         86 |        385 |      2,560 |
| src (Files)                                                                                        |          2 |         20 |          0 |          4 |         24 |
| src/Pages                                                                                          |         14 |        906 |         11 |        178 |      1,095 |
| src/Pages/AddTips                                                                                  |          1 |        141 |          0 |         22 |        163 |
| src/Pages/AddTipsConfirmation                                                                      |          1 |         17 |          0 |          5 |         22 |
| src/Pages/BarRegister                                                                              |          1 |        102 |          0 |          9 |        111 |
| src/Pages/DrawersSetup                                                                             |          1 |         46 |          0 |         12 |         58 |
| src/Pages/HoursConfirmation                                                                        |          1 |         36 |          3 |         14 |         53 |
| src/Pages/LandingPage                                                                              |          1 |         35 |          0 |         11 |         46 |
| src/Pages/Layout                                                                                   |          1 |         40 |          2 |          7 |         49 |
| src/Pages/LoginPage                                                                                |          1 |         63 |          0 |          6 |         69 |
| src/Pages/ShiftHistory                                                                             |          1 |         64 |          0 |         12 |         76 |
| src/Pages/ShiftSetup                                                                               |          1 |         66 |          0 |         14 |         80 |
| src/Pages/TipOutPage                                                                               |          1 |        109 |          1 |         24 |        134 |
| src/Pages/TipsConfirmation                                                                         |          1 |         31 |          5 |         13 |         49 |
| src/Pages/UserPage                                                                                 |          1 |         53 |          0 |         11 |         64 |
| src/Pages/UserRegister                                                                             |          1 |        103 |          0 |         18 |        121 |
| src/components                                                                                     |          8 |        651 |          3 |        102 |        756 |
| src/components/App                                                                                 |          2 |        121 |          0 |         11 |        132 |
| src/components/BackButton                                                                          |          1 |         13 |          0 |          5 |         18 |
| src/components/EditTable                                                                           |          1 |        307 |          1 |         47 |        355 |
| src/components/EditTipsTable                                                                       |          1 |        164 |          2 |         29 |        195 |
| src/components/HamburgerButton                                                                     |          1 |         17 |          0 |          5 |         22 |
| src/components/Header                                                                              |          1 |         20 |          0 |          4 |         24 |
| src/components/ProtectedRoute                                                                      |          1 |          9 |          0 |          1 |         10 |
| src/hooks                                                                                          |          1 |          5 |         10 |          6 |         21 |
| src/redux                                                                                          |         22 |        507 |         62 |         95 |        664 |
| src/redux (Files)                                                                                  |          1 |         15 |          8 |          6 |         29 |
| src/redux/reducers                                                                                 |         12 |        158 |         14 |         19 |        191 |
| src/redux/sagas                                                                                    |          9 |        334 |         40 |         70 |        444 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                           | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/elijahlawson/Desktop/Prime/divvy-tips/.github/dependabot.yml                                | YAML           |         16 |          5 |          1 |         22 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/Notes.md                                              | Markdown       |         20 |          0 |          1 |         21 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/PostmanPrimeSoloRoutes.json                           | JSON           |         77 |          0 |          0 |         77 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/PostmanPrimeSoloRoutesv2.json                         | JSON           |         62 |          0 |          1 |         63 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/README.md                                             | Markdown       |         83 |          0 |         39 |        122 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/TODO.md                                               | Markdown       |         63 |          0 |          7 |         70 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/database.sql                                          | SQL            |         34 |          4 |          6 |         44 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/package.json                                          | JSON           |         62 |          0 |          1 |         63 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/public/index.html                                     | HTML           |         15 |          0 |          2 |         17 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/constants/warnings.js                          | JavaScript     |         17 |          0 |          7 |         24 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/modules/authentication-middleware.js           | JavaScript     |          8 |          4 |          2 |         14 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/modules/encryption.js                          | JavaScript     |         13 |         10 |          6 |         29 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/modules/pool.js                                | JavaScript     |         18 |         14 |          4 |         36 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/modules/session-middleware.js                  | JavaScript     |         20 |         11 |          6 |         37 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/bar.router.js                           | JavaScript     |         65 |          1 |         10 |         76 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/drawers.router.js                       | JavaScript     |         43 |         15 |         12 |         70 |
| /Users/elijahlawson/Desktop/Prime/divvy-tips/server/routes/hours.router.js                         | JavaScript     |         23 |          4 |          7 |         34 |
